City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Jatiroto,ID,84.4,broken clouds,-7.8833,111.1167,Mushola Al Huda
8,Nha Trang,VN,86.0,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
11,San Patricio,US,82.49,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
14,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
17,Champerico,GT,80.2,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
20,Pundaguitan,PH,84.16,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
23,Butaritari,KI,81.72,light rain,3.0707,172.7902,Isles Sunset Lodge
28,Carnarvon,AU,76.28,few clouds,-24.8667,113.6333,Hospitality Carnarvon
29,Umm Kaddadah,SD,80.37,overcast clouds,13.6017,26.6876,Hotel Landmark
32,Albany,US,75.52,broken clouds,42.6001,-73.9662,Hotel Landmark
33,Atuona,PF,77.61,light rain,-9.8,-139.0333,Villa Enata
35,Hobyo,SO,83.17,broken clouds,5.3505,48.5268,Iftin hotel hobyo
36,Hithadhoo,MV,83.46,overcast clouds,-0.6,73.0833,Scoop Guest House
37,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Ambilobe,MG,79.2,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
40,San Carlos,VE,76.44,broken clouds,9.6612,-68.5827,Hotel Paternopoli
45,Robertsport,LR,76.69,moderate rain,6.7533,-11.3686,Kwepunha Retreat
51,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
52,Naze,JP,77.92,broken clouds,28.3667,129.4833,Shishime Hotel
54,Marsh Harbour,BS,78.51,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
58,Faanui,PF,80.8,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
59,Rikitea,PF,75.56,light rain,-23.1203,-134.9692,People ThankYou
61,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
65,Hilo,US,80.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
68,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Central
70,Dingle,PH,87.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
71,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
72,Ust-Tarka,RU,76.41,overcast clouds,55.5672,75.705,Pearl of Siberia
76,Abu Kamal,SY,83.1,broken clouds,34.4506,40.9171,البوكمال
88,Garowe,SO,84.83,broken clouds,8.4054,48.4845,Curubo Hotel
91,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
92,Biltine,TD,81.28,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
104,Dong Xoai,VN,82.74,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
109,Akyab,MM,88.11,broken clouds,20.15,92.9,Hotel Memory
110,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
111,Chontalpa,MX,81.63,scattered clouds,17.7,-93.5167,Hotel Landmark
122,Andros Town,BS,80.56,scattered clouds,24.7,-77.7667,Hanks place
129,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
133,Balikpapan,ID,86.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
134,Barongis,PH,88.34,broken clouds,7.2611,124.5642,Blue Palm Mountain Resort
137,Guane,CU,79.36,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
142,Spanish Town,JM,82.02,few clouds,17.9911,-76.9574,Shan's Cloud
149,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
150,Porto Novo,BJ,75.02,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
151,Kandrian,PG,84.94,light rain,-6.2167,149.55,Kandrian Station
152,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
157,Mangrol,IN,86.5,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
164,Calabozo,VE,78.66,scattered clouds,8.9242,-67.4293,Hotel Giardini
166,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
169,Odweyne,SO,78.06,overcast clouds,9.4092,45.064,Eng Hiirey House
178,Bambanglipuro,ID,86.54,broken clouds,-7.95,110.2833,Puri Brata
185,Tezu,IN,86.43,scattered clouds,27.9167,96.1667,Circuit House
187,Hirara,JP,78.66,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
188,Isla Mujeres,MX,84.25,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
189,Marawi,PH,78.03,overcast clouds,7.9986,124.2928,Derogongan Residence
190,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
196,Gigmoto,PH,85.17,light rain,13.7796,124.39,Cj's Travellers Inn
200,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
201,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
207,Manavalakurichi,IN,84.0,scattered clouds,8.1333,77.3,Jebinrio home
208,Hambantota,LK,87.57,broken clouds,6.1241,81.1185,Bungalow 63
211,Sungaipenuh,ID,81.32,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
214,Alappuzha,IN,81.52,overcast clouds,9.49,76.3264,Panoramic Sea Resort
222,Cozumel,MX,81.95,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
225,Sola,VU,81.5,scattered clouds,-13.8833,167.55,Leumerus Bungalows
228,Cukai,MY,89.55,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
230,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
235,Mayo,US,80.73,clear sky,38.8876,-76.5119,Resorts Resource Group International
239,Amahai,ID,83.82,broken clouds,-3.3333,128.9167,HOTEL ISABELA
241,Keti Bandar,PK,86.07,broken clouds,24.1447,67.4497,Haji laloo memon house
244,Pingzhuang,CN,83.61,clear sky,42.0372,119.2889,Haoke Guest House
250,Kirkuk,IQ,82.71,overcast clouds,35.4681,44.3922,Cihad Oteli
253,Kawalu,ID,77.04,overcast clouds,-7.3817,108.2082,West Jontor
259,Poum,NC,78.33,few clouds,-20.2333,164.0167,Hotel Landmark
265,Luganville,VU,81.09,broken clouds,-15.5333,167.1667,The Espiritu Hotel
271,Malakal,SS,78.1,overcast clouds,9.5334,31.6605,Nile Palace Hotel
272,Georgetown,MY,89.53,thunderstorm,5.4112,100.3354,Cititel Penang
274,Karwar,IN,83.07,broken clouds,14.8,74.1333,Netalco Connects
275,Saint Pete Beach,US,75.2,broken clouds,27.7253,-82.7412,Sirata Beach Resort
280,Cockburn Town,TC,79.38,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
281,Forestville,US,79.83,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
284,Kuri,KR,80.28,scattered clouds,37.5986,127.1394,U&I HOTEL in Guri
285,Somerset,US,80.46,clear sky,40.5668,-74.5496,Hilton Garden Inn Bridgewater
286,Ambulu,ID,87.12,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
288,Nan,TH,84.22,scattered clouds,18.8333,100.6667,สะเนียน2
