City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Elizabeth,ZA,-33.918,25.5701,46.69,93,20,3.44,few clouds
1,Alexandria,EG,31.2156,29.9553,66.96,66,0,18.03,clear sky
2,Lorain,US,41.3334,-82.1499,65.57,91,100,0.0,overcast clouds
3,Cascais,PT,38.6979,-9.4215,64.51,79,100,25.01,overcast clouds
4,Dikson,RU,73.5069,80.5464,28.67,88,67,12.62,broken clouds
5,Jatiroto,ID,-7.8833,111.1167,84.4,66,55,3.06,broken clouds
6,New Norfolk,AU,-42.7826,147.0587,55.92,53,90,1.21,overcast clouds
7,Dombarovskiy,RU,50.7587,59.5386,44.22,71,99,17.27,overcast clouds
8,Nha Trang,VN,12.25,109.1833,86.0,65,100,5.32,overcast clouds
9,Hokitika,NZ,-42.7167,170.9667,53.4,76,99,17.36,overcast clouds
10,Halvad,IN,23.0167,71.1833,93.0,47,38,22.64,scattered clouds
11,San Patricio,US,28.017,-97.5169,82.49,93,32,13.85,scattered clouds
12,Dawson Creek,CA,55.7666,-120.2362,47.84,40,0,6.91,clear sky
13,Port Alfred,ZA,-33.5906,26.891,57.06,80,2,5.77,clear sky
14,Salalah,OM,17.0151,54.0924,86.09,70,75,5.75,broken clouds
15,Rundu,NA,-17.9333,19.7667,39.72,47,0,5.64,clear sky
16,Ribeira Grande,PT,38.5167,-28.7,63.99,94,100,1.83,overcast clouds
17,Champerico,GT,14.3,-91.9167,80.2,81,91,5.17,overcast clouds
18,Mezen,RU,65.8522,44.24,34.68,56,93,11.88,overcast clouds
19,Yellowknife,CA,62.456,-114.3525,41.56,100,75,11.5,light intensity shower rain
20,Pundaguitan,PH,6.3711,126.1689,84.16,68,99,6.24,overcast clouds
21,Hasaki,JP,35.7333,140.8333,72.0,79,90,20.51,overcast clouds
22,Busselton,AU,-33.65,115.3333,68.23,72,53,24.67,light rain
23,Butaritari,KI,3.0707,172.7902,81.72,78,85,11.63,light rain
24,Mataura,NZ,-46.1927,168.8643,42.35,82,68,8.08,broken clouds
25,Hermanus,ZA,-34.4187,19.2345,55.98,78,26,6.53,scattered clouds
26,Codrington,AU,-38.2667,141.9667,58.8,62,5,8.66,clear sky
27,Benito Juarez,MX,19.385,-99.165,73.22,33,100,11.5,overcast clouds
28,Carnarvon,AU,-24.8667,113.6333,76.28,60,13,22.35,few clouds
29,Umm Kaddadah,SD,13.6017,26.6876,80.37,18,98,6.8,overcast clouds
30,La Macarena,CO,2.1837,-73.7849,69.82,97,94,1.7,overcast clouds
31,Kruisfontein,ZA,-34.0033,24.7314,51.22,87,2,4.45,clear sky
32,Albany,US,42.6001,-73.9662,75.52,85,61,1.01,broken clouds
33,Atuona,PF,-9.8,-139.0333,77.61,79,20,8.46,light rain
34,Ushuaia,AR,-54.8,-68.3,37.06,81,0,6.91,clear sky
35,Hobyo,SO,5.3505,48.5268,83.17,65,75,18.16,broken clouds
36,Hithadhoo,MV,-0.6,73.0833,83.46,69,100,11.03,overcast clouds
37,Kapaa,US,22.0752,-159.319,78.78,91,100,11.5,overcast clouds
38,Ambilobe,MG,-13.2,49.05,79.2,70,8,4.65,clear sky
39,Cardston,CA,49.2,-113.3019,35.89,75,32,1.14,scattered clouds
40,San Carlos,VE,9.6612,-68.5827,76.44,70,56,2.48,broken clouds
41,Barrow,US,71.2906,-156.7887,23.02,93,100,11.5,light snow
42,Soma,TR,39.1855,27.6094,68.25,46,15,2.3,few clouds
43,Hobart,AU,-42.8794,147.3294,56.26,74,100,9.22,overcast clouds
44,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,80,75,12.66,broken clouds
45,Robertsport,LR,6.7533,-11.3686,76.69,90,100,9.66,moderate rain
46,Kodiak,US,57.79,-152.4072,45.91,93,100,16.11,mist
47,Brownsburg,US,39.8434,-86.3978,67.78,89,100,12.66,overcast clouds
48,Punta Arenas,CL,-53.15,-70.9167,35.71,87,75,5.75,broken clouds
49,Fort Nelson,CA,58.8053,-122.7002,56.79,33,40,6.91,scattered clouds
50,Chokurdakh,RU,70.6333,147.9167,34.45,100,100,1.77,overcast clouds
51,Maceio,BR,-9.6658,-35.7353,76.44,83,75,4.61,broken clouds
52,Naze,JP,28.3667,129.4833,77.92,68,73,8.72,broken clouds
53,Bredasdorp,ZA,-34.5322,20.0403,51.35,84,36,6.26,scattered clouds
54,Marsh Harbour,BS,26.5412,-77.0636,78.51,87,29,13.29,scattered clouds
55,Puerto Ayora,EC,-0.7393,-90.3518,71.08,89,56,5.82,broken clouds
56,Giyani,ZA,-23.3025,30.7187,60.21,93,97,4.83,light rain
57,Ponta Do Sol,PT,32.6667,-17.1,65.71,78,64,3.29,broken clouds
58,Faanui,PF,-16.4833,-151.75,80.8,72,10,11.43,clear sky
59,Rikitea,PF,-23.1203,-134.9692,75.56,77,5,13.33,light rain
60,Shingu,JP,33.7333,135.9833,73.36,61,50,6.08,scattered clouds
61,Mahebourg,MU,-20.4081,57.7,77.29,69,75,9.22,broken clouds
62,Conde,BR,-7.2597,-34.9075,74.66,94,40,8.05,scattered clouds
63,Touros,BR,-5.1989,-35.4608,74.68,90,21,10.83,light rain
64,East London,ZA,-33.0153,27.9116,52.74,87,20,5.75,few clouds
65,Hilo,US,19.7297,-155.09,80.28,82,40,6.91,scattered clouds
66,Saskylakh,RU,71.9167,114.0833,34.81,100,100,3.31,overcast clouds
67,Half Moon Bay,US,37.4636,-122.4286,62.02,73,0,13.8,clear sky
68,Victoria,HK,22.2855,114.1577,82.45,81,97,17.0,overcast clouds
69,Istok,XK,42.7808,20.4875,63.25,87,42,2.44,scattered clouds
70,Dingle,PH,10.9995,122.6711,87.94,63,100,6.4,overcast clouds
71,Bambous Virieux,MU,-20.3428,57.7575,77.25,69,75,9.22,light rain
72,Ust-Tarka,RU,55.5672,75.705,76.41,36,98,14.74,overcast clouds
73,Tuatapere,NZ,-46.1333,167.6833,44.87,75,63,13.6,broken clouds
74,Severo-Kurilsk,RU,50.6789,156.125,45.46,91,74,12.06,broken clouds
75,Chernyshevskiy,RU,63.0128,112.4714,61.16,41,96,7.43,overcast clouds
76,Abu Kamal,SY,34.4506,40.9171,83.1,7,63,3.44,broken clouds
77,Stokmarknes,NO,68.5646,14.9108,46.38,87,100,9.22,overcast clouds
78,Istmina,CO,5.1605,-76.684,74.64,92,84,2.13,broken clouds
79,Trelew,AR,-43.249,-65.3051,58.41,42,74,23.44,broken clouds
80,Talnakh,RU,69.4865,88.3972,47.21,86,99,6.8,overcast clouds
81,Airai,TL,-8.9266,125.4092,72.63,55,38,4.45,scattered clouds
82,Mount Gambier,AU,-37.8333,140.7667,62.33,52,2,5.1,clear sky
83,Oxelosund,SE,58.6706,17.1015,51.89,76,0,2.3,clear sky
84,Orchard Homes,US,46.8633,-114.0484,46.54,66,100,8.05,overcast clouds
85,Lompoc,US,34.6391,-120.4579,54.01,85,100,5.01,overcast clouds
86,Cumpas,MX,29.9833,-109.7833,70.79,37,21,4.52,few clouds
87,Kaitangata,NZ,-46.2817,169.8464,45.28,73,64,13.31,broken clouds
88,Garowe,SO,8.4054,48.4845,84.83,50,84,22.7,broken clouds
89,Kununurra,AU,-15.7667,128.7333,91.38,21,4,6.91,clear sky
90,Thompson,CA,55.7435,-97.8558,33.96,80,40,0.0,scattered clouds
91,Avarua,CK,-21.2078,-159.775,75.25,88,75,5.75,broken clouds
92,Biltine,TD,14.5333,20.9167,81.28,16,43,5.82,scattered clouds
93,Fez,MA,34.0372,-4.9998,62.85,100,75,8.05,mist
94,Palmer,US,42.1584,-72.3287,73.67,79,0,4.61,clear sky
95,Kalabo,ZM,-14.97,22.6814,47.93,38,40,6.55,scattered clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,46.94,92,18,1.99,few clouds
97,Emba,KZ,48.8264,58.1442,49.64,47,54,16.24,broken clouds
98,Ancud,CL,-41.8697,-73.8203,53.01,95,100,23.58,heavy intensity rain
99,Burnie,AU,-41.0667,145.9167,56.95,60,22,2.91,few clouds
100,Malkangiri,IN,18.35,81.9,98.2,35,14,5.41,few clouds
101,Vostok,RU,46.4856,135.8833,48.09,96,100,2.55,overcast clouds
102,Riviere-Au-Renard,CA,48.9957,-64.3971,62.89,98,80,3.67,broken clouds
103,Bethel,US,41.3712,-73.414,72.34,86,0,1.01,clear sky
104,Dong Xoai,VN,11.5333,106.9167,82.74,84,100,8.43,overcast clouds
105,Bluff,NZ,-46.6,168.3333,48.67,65,69,21.39,broken clouds
106,Nikolskoye,RU,59.7035,30.7861,47.88,50,0,6.46,clear sky
107,Caconda,AO,-13.7333,15.0667,47.88,58,57,1.23,broken clouds
108,Merke,KZ,42.8728,73.1786,54.07,95,98,6.91,light rain
109,Akyab,MM,20.15,92.9,88.11,67,68,4.83,broken clouds
110,Vaini,TO,-21.2,-175.2,77.16,88,75,5.75,broken clouds
111,Chontalpa,MX,17.7,-93.5167,81.63,52,25,6.02,scattered clouds
112,Narsaq,GL,60.9167,-46.05,37.62,79,100,5.7,overcast clouds
113,Balkhash,KZ,46.844,74.9804,70.41,43,0,24.61,clear sky
114,Castro,BR,-24.7911,-50.0119,43.21,82,1,2.86,clear sky
115,Nelson Bay,AU,-32.7167,152.15,59.0,97,100,12.75,moderate rain
116,Nacala,MZ,-14.5428,40.6728,74.3,83,3,1.21,clear sky
117,Hamilton,US,39.1834,-84.5333,66.97,96,100,5.75,overcast clouds
118,Agadir,MA,30.4202,-9.5982,63.05,87,69,2.33,broken clouds
119,Ostrovnoy,RU,68.0531,39.5131,32.13,67,66,10.22,broken clouds
120,Uusikaupunki,FI,60.8004,21.4084,47.16,52,100,8.21,overcast clouds
121,North Battleford,CA,52.7834,-108.2847,37.49,65,0,0.0,clear sky
122,Andros Town,BS,24.7,-77.7667,80.56,87,29,14.29,scattered clouds
123,Strzelce Krajenskie,PL,52.8773,15.5298,53.37,91,57,10.13,broken clouds
124,Mollendo,PE,-17.0231,-72.0147,64.0,85,100,5.55,overcast clouds
125,Laguna,US,38.421,-121.4238,73.4,36,0,6.91,clear sky
126,Marrakesh,MA,31.6315,-8.0083,64.47,77,0,6.91,clear sky
127,Arraial Do Cabo,BR,-22.9661,-42.0278,68.47,74,11,6.06,few clouds
128,Neryungri,RU,56.6709,124.6491,46.42,75,100,4.23,overcast clouds
129,Kahului,US,20.8947,-156.47,78.82,70,20,20.0,few clouds
130,Mishima,JP,35.1167,138.9167,68.54,69,62,4.79,broken clouds
131,Upernavik,GL,72.7868,-56.1549,28.45,87,100,2.53,overcast clouds
132,Brae,GB,60.3964,-1.353,49.71,89,100,7.54,light rain
133,Balikpapan,ID,-1.2675,116.8289,86.99,74,20,4.61,few clouds
